day,month,year,category,number of vehicles,number of sites
17,3,2020,7,54,1
16,3,2020,1,19,1
16,3,2020,2,7953,1
16,3,2020,3,1087,1
16,3,2020,4,74,1
16,3,2020,5,376,1
16,3,2020,6,1696,1
16,3,2020,7,111,1
15,3,2020,1,10,1
15,3,2020,2,7057,1
15,3,2020,3,477,1
15,3,2020,4,94,1
15,3,2020,5,108,1
15,3,2020,6,467,1
15,3,2020,7,103,1
14,3,2020,1,14,1
14,3,2020,2,7622,1
14,3,2020,3,693,1
14,3,2020,4,72,1
14,3,2020,5,169,1
14,3,2020,6,876,1
14,3,2020,7,78,1
13,3,2020,1,23,1
13,3,2020,2,12469,1
13,3,2020,3,1468,1
13,3,2020,4,101,1
13,3,2020,5,446,1
13,3,2020,6,1894,1
13,3,2020,7,134,1
12,3,2020,1,24,1
12,3,2020,2,13773,1
12,3,2020,3,1607,1
12,3,2020,4,98,1
12,3,2020,5,455,1
12,3,2020,6,1950,1
12,3,2020,7,113,1
11,3,2020,1,29,1
11,3,2020,2,13220,1
11,3,2020,3,1571,1
11,3,2020,4,94,1
11,3,2020,5,470,1
11,3,2020,6,1941,1
11,3,2020,7,124,1
10,3,2020,1,27,1
10,3,2020,2,13376,1
10,3,2020,3,1549,1
10,3,2020,4,97,1
10,3,2020,5,436,1
10,3,2020,6,1918,1
10,3,2020,7,119,1
9,3,2020,1,22,1
9,3,2020,2,13565,1
9,3,2020,3,1574,1
9,3,2020,4,100,1
9,3,2020,5,450,1
9,3,2020,6,1754,1
9,3,2020,7,97,1
8,3,2020,1,69,1
8,3,2020,2,13497,1
8,3,2020,3,742,1
8,3,2020,4,119,1
8,3,2020,5,81,1
8,3,2020,6,388,1
8,3,2020,7,77,1
7,3,2020,1,34,1
7,3,2020,2,11740,1
7,3,2020,3,873,1
7,3,2020,4,121,1
7,3,2020,5,168,1
7,3,2020,6,703,1
7,3,2020,7,89,1
6,3,2020,1,34,1
6,3,2020,2,17247,1
6,3,2020,3,1820,1
6,3,2020,4,128,1
6,3,2020,5,447,1
6,3,2020,6,1908,1
6,3,2020,7,120,1
5,3,2020,1,31,1
5,3,2020,2,15403,1
5,3,2020,3,1722,1
5,3,2020,4,113,1
5,3,2020,5,472,1
5,3,2020,6,1823,1
5,3,2020,7,94,1
4,3,2020,1,22,1
4,3,2020,2,14642,1
4,3,2020,3,1672,1
4,3,2020,4,104,1
4,3,2020,5,497,1
4,3,2020,6,1962,1
4,3,2020,7,122,1
3,3,2020,1,26,1
3,3,2020,2,14594,1
3,3,2020,3,1683,1
3,3,2020,4,105,1
3,3,2020,5,436,1
3,3,2020,6,1877,1
3,3,2020,7,106,1
2,3,2020,1,26,1
2,3,2020,2,14104,1
2,3,2020,3,1618,1
2,3,2020,4,85,1
2,3,2020,5,461,1
2,3,2020,6,1700,1
2,3,2020,7,100,1
1,3,2020,1,41,1
1,3,2020,2,13326,1
1,3,2020,3,749,1
1,3,2020,4,115,1
